GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core Tracking Module,com.jjenus.tracker.core.domain,Trip,32,158,7,7,5,36,6,18,2,15
Core Tracking Module,com.jjenus.tracker.core.domain,EngineState,0,39,0,0,0,7,0,1,0,1
Core Tracking Module,com.jjenus.tracker.core.domain,LocationPoint,0,107,0,12,0,11,0,9,0,3
Core Tracking Module,com.jjenus.tracker.core.domain,Vehicle,13,228,5,23,3,61,5,27,0,18
Core Tracking Module,com.jjenus.tracker.core.domain,VehicleUpdatedEvent,6,9,0,0,2,4,2,1,2,1
Core Tracking Module,com.jjenus.tracker.core.domain,FuelStatus,18,12,4,0,2,1,4,1,2,1
Core Tracking Module,com.jjenus.tracker.core.domain,FuelCutRequestedEvent,6,9,0,0,2,4,2,1,2,1
Core Tracking Module,com.jjenus.tracker.core.application,VehicleCommandService,57,123,0,0,12,38,1,6,1,6
Core Tracking Module,com.jjenus.tracker.core.application,VehicleQueryService,0,57,0,2,0,12,0,9,0,8
Core Tracking Module,com.jjenus.tracker.core.infrastructure,InMemoryVehicleRepository,41,0,2,0,10,0,7,0,6,0
Core Tracking Module,com.jjenus.tracker.core.exception,TripException,38,18,0,0,7,4,4,2,4,2
Core Tracking Module,com.jjenus.tracker.core.exception,VehicleException,19,44,0,0,4,8,2,5,2,5
