GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Device Communication Module,com.jjenus.tracker.devicecomm.infrastructure,SocketServer,143,0,12,0,42,0,12,0,6,0
Device Communication Module,com.jjenus.tracker.devicecomm.infrastructure,AutoseekerProtocolParser,10,101,0,8,4,23,0,10,0,6
Device Communication Module,com.jjenus.tracker.devicecomm.application,DeviceDataProcessor,79,0,0,0,24,0,2,0,2,0
Device Communication Module,com.jjenus.tracker.devicecomm.application,ParserFactory,0,38,0,0,0,10,0,6,0,6
Device Communication Module,com.jjenus.tracker.devicecomm.exception,ProtocolParseException,4,0,0,0,2,0,1,0,1,0
Device Communication Module,com.jjenus.tracker.devicecomm.exception,DeviceException,88,0,0,0,14,0,7,0,7,0
Device Communication Module,com.jjenus.tracker.devicecomm.exception,ProtocolException,37,67,0,4,6,10,3,6,3,4
Device Communication Module,com.jjenus.tracker.devicecomm.domain,LocationDataEvent,21,0,0,0,8,0,4,0,4,0
Device Communication Module,com.jjenus.tracker.devicecomm.domain,DeviceDataPacket,15,0,0,0,1,0,1,0,1,0
Device Communication Module,com.jjenus.tracker.devicecomm.domain,FuelCutCommand,15,0,0,0,6,0,3,0,3,0
